,DEPOSIT_AMOUNT,DEPOSIT_TXS,SENDER,WITHDRAWN_AMOUNT,WITHDRAW_TXS
237,500.0,1,terra1qehcufghz93s5angfazhgddswvlm6y4z0cmuxg,0.0,0
238,2210.0,1,terra1czp8t73te6lglese8w07t2ts957qx88gr0j442,0.0,0
239,34.970949,2,terra1jh8wnrq5mvfg3pnw3vcwxsm7nat8tkmxg6a9z4,0.0,0
240,978.459333,1,terra1p4efrgr337xlnvgppcyx332j52tfm92xvwu3ly,0.0,0
241,700.0,2,terra1zmyvc4hq5nhsm6yw7eaydkywlhx8htdkpsparx,200.0,1
242,2500.0,1,terra108uqskf0vydf5kaea5hszq9eu4c285g3cw0rxj,0.0,0
243,100.0,1,terra1zsv5gm2dfuaqsurnzh4nn4wmylsj9thkdvrxfl,0.0,0
244,1327.721164,1,terra1hql7g7fjar8jsc5tfrrrsfpas3xfm8a2dktmsr,1327.721164,1
245,1000.0,1,terra1kcpvnfhx0mg77kz4j0dp7h7l9ytynp29rkrxqy,0.0,0
246,96.0,1,terra17yv9rnjdy580w5mcz4jyy3yz3r6q5jmw6zy45n,0.0,0
247,24900.0,2,terra16vz3lzhnqn8rpqal84ptz26ujjqpeju53389nd,0.0,0
248,1000.0,1,terra179v3e3cw67tp2f4ez7xsll3lg3emc4xqd060jn,0.0,0
249,4800.0,2,terra18na4036r3322fuay6sfp6yxasthk493yf7zv0t,0.0,0
250,400.0,1,terra1gjzkv8vnzfsu7v7t7eh9ldcqwcrtxw278wyerq,0.0,0
251,560.0,2,terra1ldcmx4s6z75fnmrp8zlz9qfskshyppkh67dcfj,0.0,0
252,100.0,1,terra16qw5pcac9fhrcfqhx0u3tp37kay2qf6emxvyfd,0.0,0
253,150.0,1,terra1sccsnjy9wjr36ly0dnhytrkptvg2mfqxy2qg8y,0.0,0
254,500.0,1,terra15qc3fcj934larppcjf0ecl63m03zpprhmw4p9h,250.0,1
255,105.726975,2,terra1a5q37zzz3gsd53d5ysx8n7kgnam355ddsr7q9s,0.0,0
256,350.0,1,terra14m6py5vce5zt3d0mwjg8lgu9ddj3kjyytuf5tz,0.0,0
257,35.0,1,terra18xmvez6wvlrklkswtlfm7auaqgjsexrvd2g35w,0.0,0
258,149.027621,1,terra169xska2cgj057rcun98u3a9xq2thyfn6u0k8fl,0.0,0
259,250.0,1,terra132kxrhn3kug44ag4ddnkgh5tf0pn37l3j57jfz,0.0,0
260,1000.0,1,terra1048gyhzptenxuwt5h4sngddej74vsq0rf300zw,0.0,0
261,10.0,1,terra1c0nyws636wv9m6eag4uam6x0twtrgcemwym347,0.0,0
262,500.0,1,terra1j2q0jxu6yzgvetdwtvvha6g7p4jr7mkaumakrx,0.0,0
263,190.0,1,terra1lalr0rv2xr4x4hl6vue5fj0n64s877t44ajzft,0.0,0
264,3150.0,1,terra1up9cmxsqe5gr39n9wlsj4quy0twf7gccznfrqx,0.0,0
265,200.0,1,terra1rcsktvs9esl25r87tmpjp3rvgv3fxgh9ccd7l4,200.0,1
266,2000.0,1,terra1ej30yeev875tynvea6e8l7vmlrlm3wtpj7c44c,0.0,0
267,2210.091277,2,terra14c2cz3lcvv2wg554l2xycpnexvxv3nmsj25sr4,0.0,0
268,1000.0,1,terra14r7x8p7yn9d7x7vnajzyvgz0a8src2tnf7nanr,0.0,0
269,60000.0,2,terra1x9l204dnuykxkcrxsfgn449sjlgnztuepyzeag,0.0,0
270,1080.0,1,terra1glugy6td79zlgq9hzk48hxgmzw4z59qrj8wyhu,0.0,0
